button;text
Що подивитись/почитати?;"Вступ: Ох-ох, давай з тобою порелаксуємо, виділимо час для себе і щось подивимося, послухаємо, чи почитаємо. Я підібрала для тебе серіали, фільми, статті, підкасти на будь-який смак. Коли Каті немає вдома, ох, що я витворяю! Дивлюся усі фільми, що й вона, та з`їдаю усі смаколики з кухні. Приєднуйся та відволікайся від буденності! Списки будуть час-від-часу оновлюватися, тому слідкуй - буде цікаво!"
Кіно;"«Маленькі жінки» - фільм про чотирьох зовсім не схожих одна на одну сестер  Мег, Еммі, Бет і Джо. Одна з них мріє про театральну кар`єру акторки, інша обожнює малювання, третя ж без розуму від музики. Але найбільше серед них вирізняється Джо. Вона терпіти не може стереотипи, що доля жінки — вдало вийти заміж і завжди бути поруч зі своїм чоловіком. Джо йде до своєї мети: зробити так, щоб її п`єси ставили на великих театральних сценах.

«Енола Холмс» - молодша сестра всесвітньо відомого детектива Шерлока, яка виросла в заміському маєтку з матір`ю. Замість вишивання і готування вона навчала дочку стрільбі з лука і джиу-джитсу, а одного разу просто без сліду зникла, залишивши лише підказки зі своїм місцезнаходженням. Що було далі - дивіться у фільмі.

«Суфражистка» - головна героїня зіштовхується зі складними життєвими обставинами: залежність від чоловіка-тирана, тяжка фізична праця, відсутність прав у суспільстві. Але все починає змінюватися, коли дівчина зустрічає главу руху суфражисток і стає частиною цього руху.

«Тім Талер і проданий сміх» - головний герой втрачає можливість радіти будь-чому, що з’являється в його житті. Він починає розуміти, що не у грошах щастя, а щира усмішка набагато цінніша матеріальних благ.

«Диво» - фільм про хлопчика з генетичною хворобою, який уперше йде до школи. Фільм про внутрішню красу й неймовірну силу героя, який не здається та бореться із соціумом, про віру та підтримку сім’ї. Диво – це бути добрим у злому світі.


Більше фільмів можеш знайти тут: https://moemisto.ua/vn/blog/35-kraschih-motivuyuchih-filmiv-na-realnih-podiyah-814.html"
Різне;"Завжди класно розумітися у різних темах, дізнаватися щось нове, аби обговорити з товаришкою/товаришем або просто, щоб самостійно розібратися у питаннях, що цікавлять, а спитати у когось ніяково. Тому, я підібрала ресурси, яким сама довіряю.

Звичайно, кожна має свій смак та різні думки щодо того чи іншого питання. Але, чи то не прикольно дізнаватися думку інших, дискутувати, самостійно аналізувати інформацію та розширяти горизонти?

Про місто, людей, події можеш почитати тут: https://www.the-village.com.ua/news

Тут зібрані різноманітні статті на абсолютно різні теми: життя, здоров’я, кар’єра, культура.

Такий собі безпечний простір для дівчат: https://www.wonderzine.com.ua/

Обговорення про секс, сексуальність без сорому: - https://soundcloud.com/the_village_ukraine/sets/sex-podcast

Це місце освіти, пізнання, самореалізації, спілкування та обміну: https://genderindetail.org.ua/about/

Кампанія проти проявів сексизму в ЗМІ щодо жінок: https://povaha.org.ua/pro-sajt/

Про права людини, фемінізм, ґендер, секс і сексуальность, наркополітику, психологічне здоров`я та інклюзивність: https://soundcloud.com/updatecomua

Як допомогти людині, яка зіткнулася з булінгом у школі: https://soundcloud.com/updatecomua/yak-dopomogti-lyudin-yaka-ztiknulas-z-bulngom-v-shkol

Якщо маєш Інстаграм раджу підписатися на:
Права людини: https://www.instagram.com/femworkshop/  , https://www.instagram.com/gender.z/

Рух за ґендерну рівність: https://www.instagram.com/heforshe_ukraine/

Історії активісток на англійській мові: https://www.instagram.com/femkyiv/

Журнал для жінок про все, що цікавить або “соромно” запитати: https://www.instagram.com/wonderzine.ua/

Відвертий жіночий блог: https://www.instagram.com/thedevochki/

Відеоролики:
1. Щодо згоди на секс: https://www.youtube.com/watch?v=pVIs7h95GFQ
2. Щодо згоди для дітей: https://www.youtube.com/watch?v=89IJADyjlmQ&t=7s

Також, багато важливої інформації ти можеш знайти тут: https://vsenedlyadomu.com.ua/"

